Txn Date,Value Date,Description,Chq/Ref No,Debit,Credit,Balance
05/08/26,05/08/26,NEFT-KKBKH64119581307-RAZORPAY SOFTWARE PVT LTD-SBINH0000721-PAYOUT,N677067297979,,"608,030.10","1,029,030.10"
06/08/26,06/08/26,NEFT-SBINH83649515010-RAZORPAY SOFTWARE PVT LTD-UTIBH0000443-PAYOUT,N146377337520,,"530,307.33","1,559,337.43"
07/08/26,07/08/26,NEFT-HDFCH46440257638-RAZORPAY SOFTWARE PVT LTD-KKBKH0000727-PAYOUT,N249968602722,,"748,076.11","2,307,413.54"
07/08/26,07/08/26,ACH D- AWS INDIA CLOUD SERVICES,N674180304469,"3,843.00",,"14,209,040.92"
08/08/26,08/08/26,NEFT-UTIBH44373577768-RAZORPAY SOFTWARE PVT LTD-SBINH0000903-PAYOUT,N710068053782,,"836,364.23","3,143,777.77"
09/08/26,09/08/26,NEFT INWARD RAZORPAY SOFTWARE PVT LTD SETTLEMENT 09AUG,N311362524410,,"652,872.70","3,796,650.47"
09/08/26,09/08/26,BY CASH DEP MACHINE BRANCH KORAMANGALA,N222404050356,"4,097.00",,"14,218,637.92"
10/08/26,10/08/26,NEFT-ICICH44416238859-RAZORPAY SOFTWARE PVT LTD-UTIBH0000897-PAYOUT,N871346117564,,"777,519.08","4,574,169.55"
11/08/26,11/08/26,NEFT-ICICH69409656426-RAZORPAY SOFTWARE PVT LTD-SBINH0000934-PAYOUT,N615921426239,,"500,424.63","5,074,594.18"
12/08/26,12/08/26,NEFT-HDFCH56408365553-RAZORPAY SOFTWARE PVT LTD-KKBKH0000946-PAYOUT,N356851331754,,"525,051.99","5,599,646.17"
13/08/26,13/08/26,NEFT-UTIBH42474184726-RAZORPAY SOFTWARE PVT LTD-KKBKH0000482-PAYOUT,N902777075770,,"420,176.13","6,019,822.30"
14/08/26,14/08/26,NEFT-HDFCH15134125313-RAZORPAY SOFTWARE PVT LTD-HDFCH0000509-PAYOUT,N502451226449,,"749,042.35","6,768,864.65"
14/08/26,14/08/26,NEFT DR-VENDOR PAYOUT-PACKAGING SUPPLIES,N495000491215,"2,224.00",,"14,214,667.92"
15/08/26,15/08/26,NEFT INWARD RAZORPAY SOFTWARE PVT LTD SETTLEMENT 15AUG,N756789290575,,"768,947.34","7,537,811.99"
16/08/26,16/08/26,NEFT INWARD RAZORPAY SOFTWARE PVT LTD SETTLEMENT 16AUG,N488945543079,,"688,898.82","8,226,710.81"
16/08/26,16/08/26,ACH D- AWS INDIA CLOUD SERVICES,N194969101901,"1,784.00",,"14,212,883.92"
17/08/26,17/08/26,NEFT-KKBKH22330992712-RAZORPAY SOFTWARE PVT LTD-UTIBH0000212-PAYOUT,N308195478942,,"733,053.60","8,959,764.41"
17/08/26,17/08/26,UPI/DR/GSTPMT/GST PAYMENT/SBIN,N273732451547,610.00,,"14,218,027.92"
17/08/26,17/08/26,BY CASH DEP MACHINE BRANCH KORAMANGALA,N457128660869,"1,136.00",,"14,216,891.92"
18/08/26,18/08/26,NEFT-SBINH87495775324-RAZORPAY SOFTWARE PVT LTD-SBINH0000550-PAYOUT,N822604822573,,"816,447.54","9,776,211.95"
19/08/26,19/08/26,NEFT-SBINH77021822533-RAZORPAY SOFTWARE PVT LTD-SBINH0000258-PAYOUT,N176754497137,,"676,585.28","10,452,797.23"
20/08/26,20/08/26,NEFT CR-KKBKH0000380-RAZORPAY SOFTWARE PRIVATE LIMITED-KIRANA KATALOG PVT LTD,N378983977434,,"842,036.43","11,294,833.66"
21/08/26,21/08/26,NEFT-SBINH23568074766-RAZORPAY SOFTWARE PVT LTD-SBINH0000288-PAYOUT,N677149899069,,"962,678.98","12,257,512.64"
22/08/26,22/08/26,NEFT-UTIBH73784457265-RAZORPAY SOFTWARE PVT LTD-HDFCH0000943-PAYOUT,N358965830877,,"685,592.04","12,943,104.68"
23/08/26,23/08/26,NEFT-ICICH82995201491-RAZORPAY SOFTWARE PVT LTD-SBINH0000402-PAYOUT,N932375091321,,"606,320.07","13,549,424.75"
24/08/26,24/08/26,NEFT-UTIBH93179167468-RAZORPAY SOFTWARE PVT LTD-ICICH0000221-PAYOUT,N236642661781,,"673,310.17","14,222,734.92"
