Order Ref,Txn ID,Invoice #,Customer,Amount (INR),Mode,Booked On,Refund Amt
order_AQ5SuoGAqfdn6L,pay_ndmqTBAiAuWJAN,INV-2026-00001,CUST17919,"21,507.00",WALLET,21-08-2026 14:04,
order_vcC5wQbNkvvYCn,pay_U9z2VaVllv440W,INV-2026-00002,CUST25838,"1,403.00",UPI,17-08-2026 15:16,
order_rTU2EoJ6bVOopg,pay_NLbGr7oJoaejPF,INV-2026-00003,CUST33757,"5,996.00",UPI,16-08-2026 07:28,
order_M07F7ELnKwEGqg,pay_i0gguz7oZ4962N,INV-2026-00004,CUST41676,239.00,UPI,23-08-2026 21:12,
order_p5tl4vTqmKO5Lp,pay_awSDlYTTIMOjqq,INV-2026-00005,CUST49595,"3,411.00",CARD,09-08-2026 07:08,
order_8EYeG27czGAZ3x,pay_NO5Y8OqE8mrFLN,INV-2026-00006,CUST57514,"1,746.00",NETBANKING,11-08-2026 17:38,
order_g4QCcCdEMzVqpg,pay_LnopwruVYfyl1e,INV-2026-00007,CUST65433,"6,552.00",NETBANKING,05-08-2026 14:45,
order_GznLKVuDRknYqN,pay_Rl7EeMY2O1ZSki,INV-2026-00008,CUST73352,"10,560.00",UPI,23-08-2026 13:11,
order_IB9pgozSteqLeU,pay_u4wnyD00PXV5fu,INV-2026-00009,CUST81271,"3,824.00",UPI,22-08-2026 08:19,
order_F1rQM1fALE5Hms,pay_gzPjhqWzjFmA9k,INV-2026-00010,CUST89190,"30,087.00",CARD,09-08-2026 15:11,
order_K2CsLj6w4YIofq,pay_S9l9aifgIdJTv4,INV-2026-00011,CUST97109,459.00,CARD,11-08-2026 20:57,
order_YmqHdM6VUSSPDt,pay_T8Ghhu5m2Qx3oz,INV-2026-00012,CUST15028,"4,838.00",UPI,10-08-2026 11:07,
order_pYEP3gMtIJAn9e,pay_4XcDydscZoSxeB,INV-2026-00013,CUST22947,"9,370.00",NETBANKING,12-08-2026 08:29,
order_CFC1zcHim79ovt,pay_7gs2Z5FjsYR1xp,INV-2026-00014,CUST30866,"14,672.00",UPI,12-08-2026 12:09,
order_cuVmwsqMnU6G7b,pay_GbJIanYP906Mi9,INV-2026-00015,CUST38785,"40,782.00",UPI,06-08-2026 12:09,
order_k69VeYCnKkGBVp,pay_ZGd5wbE3m9VdFt,INV-2026-00016,CUST46704,"9,875.00",UPI,19-08-2026 16:33,
order_rj5qKyYnHYaDmW,pay_CiJYijYRZi6nZV,INV-2026-00017,CUST54623,270.00,UPI,06-08-2026 11:24,
order_RE4QW1dPKxoVTy,pay_5PX1rzDrME7X2T,INV-2026-00018,CUST62542,"1,708.00",WALLET,20-08-2026 08:10,
order_nvuWE0oqa89KoZ,pay_dUtDWwcM1PnA5K,INV-2026-00019,CUST70461,"8,107.00",UPI,18-08-2026 12:26,
order_Esf7E5j8Tw16hq,pay_ZrYWPb32gi99bt,INV-2026-00020,CUST78380,"5,981.00",CARD,21-08-2026 14:02,
order_OHWBQZlOwx3ChY,pay_iccRQGE6uJ1Xuq,INV-2026-00021,CUST86299,107.00,UPI,05-08-2026 09:39,
order_CS6LPCEAhp5bBO,pay_SzokOwqFV7Fjkd,INV-2026-00022,CUST94218,"5,426.00",UPI,12-08-2026 14:23,
order_dldRX52cIexKqA,pay_GRRAzIGDTmFJdn,INV-2026-00023,CUST12137,"3,000.00",WALLET,18-08-2026 11:51,
order_Z1Nr8nnMGBQSpX,pay_GtCTpZyrnKUDe1,INV-2026-00024,CUST20056,"23,067.00",UPI,04-08-2026 16:01,
order_3WfQ0GJgSZBT4G,pay_C1yg7WgRaFeS2H,INV-2026-00025,CUST27975,695.00,NETBANKING,19-08-2026 08:38,
order_Bi3WDO4rZvV64P,pay_h9xY1a4NgkTkWl,INV-2026-00026,CUST35894,"6,020.00",UPI,21-08-2026 19:05,
order_g2wh2TvhMCD41l,pay_9Y6oL6Hwn8MAjy,INV-2026-00027,CUST43813,"9,122.00",CARD,13-08-2026 11:17,
order_drfRAl3FOVGmqH,pay_cEy3Cu0X4iqD3X,INV-2026-00028,CUST51732,"11,177.00",UPI,12-08-2026 12:10,
order_TkeJlRXs8oljiP,pay_ggnQ18oUWuMunV,INV-2026-00029,CUST59651,312.00,CARD,16-08-2026 14:38,
order_zXTndH5Zdclu0P,pay_3QEeCL3xZUfNYW,INV-2026-00030,CUST67570,"7,374.00",UPI,19-08-2026 21:10,
order_wfgx91UmTKr6ou,pay_73Ocg0WSW7Lsrt,INV-2026-00031,CUST75489,"31,943.00",NETBANKING,20-08-2026 22:19,
order_ni9HYImNLQgPR5,pay_Iz4qwNL36MSEv4,INV-2026-00032,CUST83408,653.00,UPI,18-08-2026 12:37,
order_xdT1zL0gTT0S6c,pay_sPFgpLDsi873SH,INV-2026-00033,CUST91327,"38,353.00",WALLET,20-08-2026 11:25,
order_kCtE9my9gOOl7x,pay_LAPzoEcRChUcxo,INV-2026-00034,CUST99246,"6,694.00",UPI,11-08-2026 19:00,
order_wstvWlgdKTrP0C,pay_nN9TJcjTzRSa6X,INV-2026-00035,CUST17165,"18,937.00",CARD,19-08-2026 09:29,
order_I14RBJmK4mWdv1,pay_MiJzLXe7uvjvhQ,INV-2026-00036,CUST25084,"1,364.00",UPI,19-08-2026 16:28,
order_cttAIFjJEXcNeo,pay_JhjwTuqoAD9dKr,INV-2026-00037,CUST33003,"1,355.00",CARD,23-08-2026 14:08,
order_YmAOodjjd9NATw,pay_Y09nX9mhS42YXt,INV-2026-00038,CUST40922,278.00,UPI,10-08-2026 07:34,
order_rjPFVVNB3BaGzX,pay_w6vKQKr2NhpyjK,INV-2026-00039,CUST48841,"1,231.00",CARD,03-08-2026 14:42,
