entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,credit_type,payment_id,order_id,dispute_id,method,card_network,card_issuer,card_type,description
pay_w6vKQKr2NhpyjK,payment,0.00,1201.95,1231.00,INR,29.05,4.43,false,true,2026-08-03T14:42:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_w6vKQKr2NhpyjK,order_rjPFVVNB3BaGzX,,card,RuPay,Axis Bank,debit,
pay_HOlKxRpVPWtaGN,payment,0.00,3409.59,3492.00,INR,82.41,12.57,false,true,2026-08-03T19:41:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_HOlKxRpVPWtaGN,order_kPzNmhmDkmjkuU,,card,Visa,HDFC Bank,debit,
pay_LIaCVExiAOivs4,payment,0.00,429.00,429.00,INR,0.00,0.00,false,true,2026-08-03T09:24:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_LIaCVExiAOivs4,order_q7ndk9NAnBPYgc,,upi,,,,
pay_2tQu0XCanKygBP,payment,0.00,718.00,718.00,INR,0.00,0.00,false,true,2026-08-03T22:29:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_2tQu0XCanKygBP,order_ffzkFPpmMmXqBd,,upi,,,,
pay_zObFc25O30c1UZ,payment,0.00,5259.00,5259.00,INR,0.00,0.00,false,true,2026-08-03T14:01:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_zObFc25O30c1UZ,order_AwYHrYScQyATwW,,upi,,,,
pay_5IGiZiVK25hl3e,payment,0.00,201.00,201.00,INR,0.00,0.00,false,true,2026-08-03T15:20:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_5IGiZiVK25hl3e,order_wWdqIEoYll1nXE,,upi,,,,
pay_BwCgA4oygkVUoq,payment,0.00,1141.00,1141.00,INR,0.00,0.00,false,true,2026-08-03T18:00:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_BwCgA4oygkVUoq,order_AolWqzcguAbOQO,,upi,,,,
pay_Fh294pVxuz83j6,payment,0.00,7035.00,7035.00,INR,0.00,0.00,false,true,2026-08-03T11:16:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_Fh294pVxuz83j6,order_jX97hkwZFfLyUi,,upi,,,,
pay_8Es0tvFFSoxCoh,payment,0.00,23858.10,24288.00,INR,429.90,65.58,false,true,2026-08-03T09:22:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_8Es0tvFFSoxCoh,order_kLuYfB923l00hg,,netbanking,,,,
pay_neBVnOmNxfqtGv,payment,0.00,4490.46,4599.00,INR,108.54,16.56,false,true,2026-08-03T08:19:00,2026-08-05T11:00:00,setl_A8q1V6qC1z0lVL,KKBKH64119581307,default,pay_neBVnOmNxfqtGv,order_uejiANKgGuqudy,,card,Visa,HDFC Bank,credit,
