settlement_id,utr,amount,currency,status,created_at,settled_at
setl_A8q1V6qC1z0lVL,KKBKH64119581307,608030.10,INR,processed,2026-08-05T08:00:00,2026-08-05T11:00:00
setl_pgJouxFpTLfAne,SBINH83649515010,530307.33,INR,processed,2026-08-06T08:00:00,2026-08-06T11:00:00
setl_c0ccRfThIMQRGV,HDFCH46440257638,748076.11,INR,processed,2026-08-07T08:00:00,2026-08-07T11:00:00
setl_RLRPJ60jkd1kFa,UTIBH44373577768,836364.23,INR,processed,2026-08-08T08:00:00,2026-08-08T11:00:00
setl_5P60SVmEwNqZSf,ICICH18772403742,652872.71,INR,processed,2026-08-09T08:00:00,2026-08-09T11:00:00
setl_biKch5gGOzawKB,ICICH44416238859,777519.08,INR,processed,2026-08-10T08:00:00,2026-08-10T11:00:00
setl_JmQjT5AN6Xmw9x,ICICH69409656426,500424.63,INR,processed,2026-08-11T08:00:00,2026-08-11T11:00:00
setl_sn8dIxElrcdXiA,HDFCH56408365553,525051.99,INR,processed,2026-08-12T08:00:00,2026-08-12T11:00:00
setl_JA3s7Iml89eBNJ,UTIBH42474184726,420176.13,INR,processed,2026-08-13T08:00:00,2026-08-13T11:00:00
setl_jo8QbtZx3MCw6d,HDFCH15134125313,749042.35,INR,processed,2026-08-14T08:00:00,2026-08-14T11:00:00
setl_X03H3LRrAXrVHk,HDFCH20736425222,768947.34,INR,processed,2026-08-15T08:00:00,2026-08-15T11:00:00
setl_h1WtzHwKHTV5yc,ICICH29372944150,688910.62,INR,processed,2026-08-16T08:00:00,2026-08-16T11:00:00
setl_dAgKC6Mi3IWtGw,KKBKH22330992712,733053.60,INR,processed,2026-08-17T08:00:00,2026-08-17T11:00:00
setl_CGzmnuWsqHw9IQ,SBINH87495775324,816447.54,INR,processed,2026-08-18T08:00:00,2026-08-18T11:00:00
setl_dgfI6hQIfrqAWY,SBINH77021822533,676585.28,INR,processed,2026-08-19T08:00:00,2026-08-19T11:00:00
setl_5mfYKu6bIcRegT,HDFCH41844457689,842036.43,INR,processed,2026-08-20T08:00:00,2026-08-20T11:00:00
setl_ciRz08X79fniep,SBINH23568074766,962678.98,INR,processed,2026-08-21T08:00:00,2026-08-21T11:00:00
setl_q3qi9TDwgcb9N3,UTIBH73784457265,685592.04,INR,processed,2026-08-22T08:00:00,2026-08-22T11:00:00
setl_uSVAjECkFL18PV,ICICH82995201491,606320.07,INR,processed,2026-08-23T08:00:00,2026-08-23T11:00:00
setl_kpyQhmqDDZNAR1,UTIBH93179167468,673333.77,INR,processed,2026-08-24T08:00:00,2026-08-24T11:00:00
setl_cWBco8pEiFM3Cy,UTIBH84673529900,476071.33,INR,processed,2026-08-25T08:00:00,2026-08-25T11:00:00
